okay and on .. on the weekends what do you do on a weekend?	تمام و ف .. في اجازات أخر الاسبوع بتعملي ايه يوم اجازة؟	okay و ف .. في ال weekends بتعملي ايه يوم اجازة؟
okay okay and what about hobbies in general? your hobbies?	تمام ماشي و الهوايات عامة؟ الهوايات بتاعتك؟	okay ماشي و ال hobbies عامة؟ ال hobbies بتاعتك؟
okay	ماشي	ماشي
before start sending your kid to school have you ever taught him for example parents may teach their kids one or two words for example give me a kiss or something like that so what did you use to tell him? what did you teach him? in english or in arabic? and why?	لما كان قبل ما يروح المدرسة كنت مثلا بتعمليه اي حد بيعلم ابنه كلمه كلمتين يقعد يقوله مثلا هات بوسة مش عارف ايه فكنتي بتقوليله ايه؟ كنتي بتعمليه ايه؟ بالإنجليزي ولا بالعربي؟ وليه؟	لما كان قبل ما يروح المدرسة كنت مثلا بتعمليه اي حد بيعلم ابنه كلمه كلمتين يقعد يقوله مثلا هات kiss مش عارف ايه فكنتي بتقوليله ايه؟ كنتي بتعمليه ايه؟ بال english ولا بالعربي؟ وليه؟
okay okay regarding reading you said that you like reading which quote do you like the most or is always on your mind?	تمام طيب بمناسبة القراية انت كنت بتقولي انك بتحبي تقري ايه اكتر مقولة عجباكي او دايما ثابتة في دماغك؟	okay طيب بمناسبة القراية انت كنت بتقولي انك بتحبي تقري ايه اكتر quote عجباكي او دايما ثابتة في دماغك؟
okay okay would you tell us about .. about a book that you have read or the last book you have read? or any book that you have read? which thing do you remember the most?	تمام طيب ممكن تحكيلنا عن .. عن كتاب قريتيه او اخر كتاب قريتيه؟ او اي كتاب قريتيه؟ اكتر حاجة معلقة في دماغك؟	okay طيب ممكن تحكيلنا عن .. عن كتاب قريتيه او اخر كتاب قريتيه؟ او اي كتاب قريتيه؟ اكتر حاجة معلقة في دماغك؟
okay okay do you generally listen to english songs or arabic ones?	تمام طيب انت عامة بتسمعي اغاني إنجيزي و لا عربي؟	okay طيب انت عامة بتسمعي اغاني english و لا عربي؟
what was your bachelor about? the bachelor project was about what?	كان مشروع التخرج بتاعك عن ايه؟ مشروع التخرج كان عن ايه؟	كان ال bachelor بتاعك عن ايه؟ ال bachelor project كان عن ايه؟
okay okay was it your dream job to work as a teacher assistant ta at the university or what was on your mind?	ماشي طيب انت كنت وظيفة الأحلام بتاعتك تشتغلي مساعد مدرس مساعد مدرس في الجامعة ولا كان ايه في دماغك؟	ماشي طيب انت كنت ال ال dream job بتاعتك تشتغلي teacher assistant ta في الجامعة ولا كان ايه في دماغك؟
you told me that you have traveled before in .. in africa right?	انت قلتي ان انت سافرتي قبل كده في .. في أفريقيا صح؟	انت قلتي ان انت سافرتي قبل كده في .. في africa صح؟
have you traveled to another place?	سافرتي في حته تانية؟	سافرتي في حته تانية؟
okay what is it you remember the most? the most .. the most place you have been to and the most place you have seen and you liked so much that you still remember till now and you will never forget?	تمام ايه اكتر حاجة انت فكراها؟ اكتر .. اكتر مكان روحتيه و اكتر مكان شوفتيه وكان حاجة عجباكي اوي لسه فكراها لغاية دلوقت عمرك ما هتنسيها؟	okay ايه اكتر حاجة انت فكراها؟ اكتر .. اكتر مكان روحتيه و اكتر مكان شوفتيه وكان حاجة عجباكي اوي لسه فكراها لغاية دلوقت عمرك ما هتنسيها؟
okay when you traveled did you make friends i mean did you make friends?	تمام طيب لما سافرتي عملتي صحاب كان  كانت عملتي صحاب يعنى؟	okay طيب لما سافرتي عملتي صحاب كان did you make friends يعنى؟
what is the most prominent moment that you felt was a turning point in your life in general since long time ago?	طب ايه اكتر لحظة حسيتي انها نقطة تحول في حياتك عامة من زمان؟	طب ايه اكتر moment حسيتي انها turning point في حياتك عامة من زمان؟
