Batman vs Superman	batman banaam superman	batman vs superman
The director is Zack Snyder, 27% Rotten Tomatoes, 4.9/10.	nirdeshak jack snider hain, 27% rotten tomatose, 4.9/10.	Zack Snyder director hai, 27% Rotten Tomatoes, 4.9/10.
Not very popular it seems	aisaa lagata haye kii yeh bahut lokpriya naheen haye	lagta hai bahut popular nahi hai
But the audiences liked it. It has a B cinema  score	lekin darshakon ney ise pasand kiya. iska bee cinema score haye	but audience ne like kiya, iska cinema score B hai
Yes	haan	yes
There is a huge divergence between proffession al critical opinion and regular movie goers	peshevar alochakon kii raay aur niyamit film dekhane vaalon key beach bahut badaa antar haye	huge divergence  hai professioan critic ke opinion aur ruglar movie dekhne walo ke beech
I've never seen it	maine yeh kabhi naheen dekhaa	maine to kabhi nahi dekha hai.
I know the difference.	main antar jaanata huun.	mujhe difference pata hai
I can't believe they used Ben Affleck as Batman	main vishvaas naheen curr sakata kii unhone bayne affleck koo batman key roop mein istemal kiya	Mujhe to believe hi nahi hota ki unhone Ben Affleck ko Bataman banaya.
So it probably won't get any awards, but should have done well enough at the box office	isaliye shayed ise koee puraskar naheen milega, lekin boxes office parr ise kaafee achchha pradarshan karna chaahiye thaa	So Probably isko koi award nahi mila, but box office par isko badhiya karna tha
It was a strange choice	yeh ack ajib vikalp thaa	bahut strange choice thi ye.
Well it was made in 2016	vaise ise 2016 mein banaaya gayaa thaa	haan tho yeh 2016 me aaya
I'm just guessing as to what it may have accomplished back then	main buss anuman lagaa rhaa huun kii usa samay isane kyaa hassil kiya hoga	mein guess kartha hoon ki agar yeh accomplished fir se huva tho
Probably nothing with those scores	sambhavatah una ankon key saath kuchh bhee naheen	probably aise kuch scores ab thak nahi aaya
The box office  gross is more important than critics acceptance for these blockbuster type movies	inn blockbuster prakaar kii filmon key liye alochakon kii sweekriti seey adhik mahatvapurna boxes office kii kamai haye	Box office mein tho iska itna important huva ki sabhi critics ko accept kiya aur blockbuster type ka movies banaya
I don't like how they made a whole new story line.	mujhe yeh pasand naheen aayaa kii unhone kaise ack bilkul naee kahani banaai.	muje us new story line ko bilkul pasand nahi aaya
They ruined it for me	unhone merey liye ise barbad curr diyaa	voh tho itna ruined ho gaya
although critics can affect word of mouth to an extent	haalaanki aalochak kuchh hudd taka maukhik vaani koo prabhaavit curr sakate hain	critics toh itna bekar nikla
Batman as a billionaire	arabpati key roop mein batman	batman tho billionaire ho gaya
yeah right!	haan thheek haye!	haan yar
Isn't that what he always was?	kyaa vaha hamesha seey vaisa hii naheen thaa?	kya voh hamesa aise hi hein?
But they make it the main focus.	lekin way ise mukhya phocus banaate hain.	But weh ise main focus bnate hai.
Batman I know, was humble	main jaanata huun kii batman vinamra thaa	Batman mujhe pta hai, humble tha
The lack of intellectual development for the main characters was my problem. Especially concerning Lex Luthor	mukhya paatron kaa bauddhik vikas naa honah merrie samasya thee. visheshkar lakes luther key sambandh mein	Main characters ke liye intellectual development mere liye problem thi. Khaaskar Lex Luthor se sambhandit
Have you seen this movie?	aapane iss film koo dekhaa haye?	Kya tumne yeh movie dekhi hai?
Yes I have	haan merey paas haye	Han maine dekhi
What was your favorite part?	aapka pasandida hissa kyaa thaa?	Tumhara favourite part kya hai?
Lex L uthor was the worse villain ever	lakes luther abb taka kaa sabse kharab khalnayak thaa	Lex Luthor sabse bura villain tha
You think?	aapako lagata haye?	Tumne socha?
This wasn't a memorable movie. It got me through a bucket of popcorn at the moment I was watching, but you forget about it soon after	yeh koee yadgar film naheen thee. jiss samay main ise dekh rhaa thaa, usee samay popcorn kii ack balty mujhe mill gaee, lekin aap isake turant baad isake baare mein bhool jaate hain	Wo ek yaadgaar movie nhi thi. Jab main isse dekh rha tha tab mujhe popcorn ki bucket lene ka khayal aaya, but tum jldi hi bhool jaoge baad mein
hahaha	hahaha	hahaha
Did people know that they were super heroes?	kyaa loga jaanate they kii way super hiro they?	Kya logon ko pata tha that they were super heroes?
The best part was Wonder Woman action scenes  in the final act	antim abhinay mein wonder women action drishya sabse achchha hissa thaa	Wonder Woman action scenes final act mein best part tha
I love Wonder Woman	mujhe wonder women bahut pasand haye	mein Wonder Woman ko love karta hun
Wonder Woman is the right name for her cause I always wonder why they took so long to get her into the movies	wonder women usake liye sahee naam haye kyonki mujhe hamesha ashcharya hotaa haye kii usey filmon mein laane mein unhein itna samay kyon lagaa	Wonder Woman uske liye sahi naam hai cause I always wonder why they took so long to get her into the movies
haha	haaha	haha
I agree!!!!	main sahmat huun!!!!	I agree!!!!
I love a good superhero movie! Iron Man is a good one.	mujhe ack achchi superheiro film pasand haye! iron maine achchha haye.	mujhe good superhero movie achi lagti hai! Iron Man achi movie hai
hello	namaste	hello
have you seen the mmovie?	kyaa aap movie dekh chuke hain?	kya tumne move dekhi hai?
Hi!	namaste!	Hi!
I saw it many years ago	maine ise kaee saal pahale dekhaa thaa	maine kafi years pehle dekhi
Yes, same!	haan, vahee!	haan, same!
And just recently as well. I really do enjoy Robert Downey Jr as Iron Man.	aur abhee haal hii mein bhee. main vaastav mein iron maine key roop mein robbert downey junier kaa anand letaa huun.	Aur abhi recent mein. main Robert Downey Jr ko as Iron Man kafi enjoy karta hun.
I can't believe it has been 10 years since it came out. That's crazy.	main vishvaas naheen curr sakata kii ise saamane aae 10 saal hoe gaye hain. vaha pagalpan haye.	Mujhe believe nahi hota ki isey aaye huye 10 saal ho gaye. That's crazy.
I know, it feels like cou ple years	mujhe pataa haye, yeh kuchh varshon jaisa lagata haye	mujhe pata hai, lagta hai couple years hi huye hain
I like Robert Downey too	mujhe robbert downey bhee pasand hain	Mujhe bhi Robert Downey acha lagta hai
Time flies. Haha.	samay guzar jaataa haye. haaha.	Time fly ho jata hai. haha
Would you watch it again?	kyaa aap ise dobara dekhenge?	Kya tum isey dobara dekhoge?
Definitely!	nishchit roop seey!	Definitely!
Did you see it on the big screen the first time?	kyaa aapane ise pahali baar badey parde parr dekhaa?	Kya tumne pehli baar isko big screen par dekha tha?
I normally do agree with Rotten Tomatoes scores. A 94 for this movie is pretty good.	main aamtaur parr rotten tomatose score seey sahmat huun. iss film key liye 94 bahut achchha haye.	Main Rotten Tomatoes scores se normally agree karta hun. Is movie ke liye 94 kafi good tha.
I saw it on DVD but still was fun	maine ise dvd parr dekhaa lekin phir bhee mazaa aayaa	Maine isey DVD par dekha par still ye mazedaar tha
Honestly... not sure! Ha!	imandari seey... nishchit naheen! haa!	Honestly... confirm nahi hai! Ha!
I don't totally trust critics, they give biased reviews	main alochakon parr poori tarah bharosa naheen kartaa, way pakshapaatpurna sameeksha karate hain	Main critics par poori tarah bharosa nahin karta, woh biased reviews dete hain
Wasn't there a sequel  to this movie?	kyaa iss film kaa seekwal naheen thaa?	Kya is movie ka sequel nahin tha?
I don't totally trust them either. I never let reviews stop me from watching a film.	main bhee una parr puuraa bharosa naheen kartaa. maine kabhi bhee sameekshaon koo mujhe film dekhane seey naheen rokane diyaa.	Main poori tarah se un par bharosa nahin karta. Mainne kabhi bhi apney aap ko reviews key based per movie dekhney se nahin roka.
I think it is best to decide for yourself	meraa maanana ​​haye kii swayam nirnay lena sarvottam haye	Mujhe lagata hai ki apne se decide karna sabse achchha hai
I usually watch a movie if I like the actors	aggar mujhe abhineta pasand aatey hain tou main aamtaur parr koee film dekhta huun	Main aksar woh movie dekta hoon jis main merey pasand ke actors hotey hai
I believe there was an Iron man 2 and 3!	meraa maanana ​​haye kii ack lauh purush 2 aur 3 they!	Mera maanna ​​hai ki Iron man 2 aur 3 tha!
I forgot that Jeff bridges was in this cast!!	main bhool gayaa kii jeff bridges iss cast mein they!!	Main bhool gaya ki Jeff bridges is cast mein tha!!
Likewise!!	vaise hii!!	Isee tarah !!
I really did like the end of this movie. Especially when Tony Stark reveals his identity as Iron Man.	mujhe vaastav mein iss film kaa anta pasand aayaa. khastaur parr taba jaba tonny stark iron maine key roop mein apani pehchaan bataate hain.	Mujhe vaastav mein is movie ka end pasand aaya.  Khaasakar jab Tony Stark  ne Iron Man ke roop mein apni pehchaan bataye.
I don't remember details but the entire movie was enjoyable	mujhe vivaran yaad naheen haye lekin poori film manoranjak thee	muje kuch yaad nahi hein lekin pura movie tho enjoy kar raha tha
